" Wholesale vegetable prices, organic and conventional, monthly and annual, 2012", , , , , , , , , , , , , , , , ,
Commodity,Subgroup,Package,Organic/ Conventional,Terminal Market,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec, 2012
Artichoke (SF only),Globe,cartons  24s,Conv,San Fran,28.58,30,30.94,18.5,13.48,17.83,30,35.26,25.75,24.66,23.47,26.29,24.12
Artichoke (SF only),Globe,cartons  24s,Org,San Fran,37.34,35.46,N\A,N\A,N\A,30.31,35,40.12,45.5,40.47,32.76,32.5,36.88
Cabbage,Round green type,40 lb cartons  medium,Conv,Atlanta,N\A,N\A,N\A,N\A,N\A,N\A,N\A,16.5,N\A,N\A,N\A,N\A,16.5
Cabbage,Round green type,45 lb cartons  medium,Org,Atlanta,33.95,36.35,29.59,24.43,29,32.94,N\A,52.77,45.5,36.78,42,45.65,37.67
Cabbage,Round green type,45 lb cartons  18-24s,Conv,San Fran,14.85,8.4,10.37,8.77,9.73,10.81,10.78,11.76,15.86,19.19,19.16,15.85,12.87
Cabbage,Round green type,45 lb cartons  18-24s,Org,San Fran,N\A,28.59,25.8,24.25,24.42,24.38,26.7,38.79,50.29,38.84,34.5,32.53,33.12
Carrots,Not specified,25 lb sacks loose,Conv,Atlanta,12.5,12.25,11.5,11.81,11.08,12.68,12.61,12.59,12.5,12.5,12.5,12.5,12.18
Carrots,Not specified,25 lb sacks loose,Org,Atlanta,24.97,23.93,30.63,28.39,31.39,31.25,31.4,30.51,30.73,26.64,26.38,24.5,28.35
Carrots,Topped,25 lb sacks loose,Conv,San Fran,6.6,7.28,6.87,6.71,8.03,7.84,9.23,8.33,8.69,7.72,8.41,8.96,7.89
Carrots,Topped,25 lb sacks loose,Org,San Fran,22,22,22,22,22,21.96,21.25,21.9,22,21.73,21,21,21.75
Cauliflower,White,cartons  film wrapped  12s,Conv,Atlanta,15.03,12.84,17.93,14.62,15.66,18.83,15.32,16.22,18.12,15.42,19.02,18.67,16.03
Cauliflower,White,cartons  film wrapped  12s,Org,Atlanta,N\A,N\A,N\A,N\A,35.97,35,44.45,39.91,38,37.5,38.6,38.75,38.74
Cauliflower,White,cartons  film wrapped  12s,Conv,San Fran,11.24,9.75,13.88,10.32,12.18,12.68,10.26,10.12,12.87,10.07,16.44,14.83,12.01
Cauliflower,White,cartons  film wrapped  12s,Org,San Fran,20.1,17.83,23.42,33,21,24.75,29.18,22.5,N\A,N\A,23.5,25.5,24.1
Greens,Swiss Chard mixed colors,cartons bunched  24s,Conv,Atlanta,25.03,25.5,25.5,24.98,24.5,N\A,N\A,N\A,N\A,N\A,N\A,N\A,25.18
Greens,Swiss Chard  mixed ,cartons bunched  24s,Org,Atlanta,N\A,32.21,35.39,38,47.37,50.25,N\A,N\A,N\A,N\A,N\A,35,39.34
Greens,Swiss Chard mixed colors,cartons bunched  24s,Conv,San Fran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,8.5,N\A,8.5
Greens,Swiss Chard mixed colors,cartons bunched  24s,Org,San Fran,23.81,22.59,20.54,18.86,23.26,16.87,12.75,17.28,16.29,14.45,12.87,13.33,18.13
Lettuce,Green leaf,cartons  24s,Conv,Atlanta,18.84,14.12,13.05,15.98,17.15,15.94,19.12,20.76,18.68,15.34,15.83,14.2,16.55
Lettuce,Green leaf,cartons  24s,Org,Atlanta,36.74,32.06,34.13,39.36,36.1,42.88,36.26,37.43,50.5,42.17,43.5,44,38.79
