"Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and farm price",,,,,,,,
Commodity and mkt yr 1/,,Planted acreage (Million acres),Harvested for grain (Million acres),Production (Million bushels),Yield per harvested acre (Bushels per acre),Weighted-average farm price (Million bushels) 2/,Loan rate (dollars per bushel),
Corn,1866/67,,30.02,730.81,24.30,0.66,,
,1867/68,,32.12,793.91,24.70,0.78,,
,1868/69,,35.12,919.59,26.20,0.62,,
,1869/70,,35.83,782.08,21.80,0.73,,
,1870/71,,38.39,"1,124.78",29.30,0.52,,
,1871/72,,42.00,"1,141.72",27.20,0.46,,
,1872/73,,43.58,"1,279.37",29.40,0.38,,
,1873/74,,44.08,"1,008.33",22.90,0.48,,
,1874/75,,47.64,"1,058.78",22.20,0.64,,
,1875/76,,52.45,"1,450.28",27.70,0.42,,
,1876/77,,55.28,"1,478.17",26.70,0.36,,
,1877/78,,58.80,"1,515.86",25.80,0.36,,
,1878/79,,59.66,"1,564.54",26.20,0.31,,
,1879/80,,62.23,"1,751.98",28.20,0.36,,
,1880/81,,62.55,"1,706.67",27.30,0.39,,
,1881/82,,63.03,"1,244.80",19.80,0.63,,
,1882/83,,66.16,"1,755.27",26.50,0.48,,
,1883/84,,68.17,"1,652.15",24.20,0.42,,
,1884/85,,68.83,"1,947.84",28.30,0.35,,
,1885/86,,71.85,"2,057.81",28.60,0.32,,
,1886/87,,73.91,"1,782.77",24.10,0.36,,
,1887/88,,73.30,"1,604.55",21.90,0.43,,
,1888/89,,77.47,"2,250.63",29.10,0.33,,
,1889/90,,77.66,"2,294.29",29.50,0.28,,
,1890/91,,74.79,"1,650.45",22.10,0.50,,
,1891/92,,78.86,"2,335.80",29.60,0.40,,
,1892/93,,76.91,"1,897.41",24.70,0.39,,
,1893/94,,79.83,"1,900.40",23.80,0.36,,
,1894/95,,80.07,"1,615.02",20.20,0.45,,
,1895/96,,90.48,"2,534.76",28.00,0.25,,
,1896/97,,89.07,"2,671.05",30.00,0.21,,
,1897/98,,89.97,"2,287.63",25.40,0.26,,
,1898/99,,87.78,"2,351.32",26.80,0.29,,
,1899/00,,94.59,"2,645.80",28.00,0.30,,
,1900/01,,94.85,"2,661.98",28.10,0.35,,
,1901/02,,94.42,"1,715.75",18.20,0.60,,
,1902/03,,97.18,"2,773.95",28.50,0.40,,
,1903/04,,93.56,"2,515.09",26.90,0.42,,
,1904/05,,95.23,"2,686.62",28.20,0.44,,
